homopolymer_size,transitions,transversions,insertions,deletions
3,0.02271471920038502,0.013384779963827384,0.011423297741688007,0.0355586191537955
4,0.019962840432051966,0.01365114773594397,0.010494446744514666,0.04483272410060157
5,0.015334693147568969,0.011803603177717382,0.008064278146643693,0.05192364423036532
6,0.010418707029300407,0.008849060089988163,0.00467629283447944,0.05233914997194881
7,0.005615025656916048,0.005698804158478396,0.0026234975136580478,0.03738290969877107
8,0.0018864281435543569,0.0028200161582568784,0.0003648513710730471,0.016679116739587364
9,0.00043952855228682837,0.0007837547971198781,0.0,0.002122254368970704
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
