homopolymer_size,transitions,transversions,insertions,deletions
3,0.013136475409100666,0.007341262141478742,0.0007182169029089072,0.0030732389486824254
4,0.012309362211697306,0.008378991052138424,0.0007658847815065176,0.004032849372136805
5,0.00988466064186028,0.007416197262343819,0.0005435321722668695,0.003941181223327427
6,0.006511708907154969,0.004612633137988128,0.0015067516040841466,0.0034771995813961225
7,0.0036838833221658615,0.003463273464251546,0.0008483167844470287,0.003223214052921237
8,0.0009653035328474561,0.0019697980022090862,0.0,0.0025266732680318026
9,0.00046714573953146246,0.0008995040303744111,0.0,0.00020872469213107912
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
