Size,Count
1,705613
2,263908
3,116036
4,54602
5,26830
6,14670
7,9086
8,5457
9,3298
10,2153
11,1505
12,1022
13,805
14,563
15,395
16,353
17,249
18,195
19,175
20,137
21,116
22,135
23,107
24,91
25,73
26,53
27,51
28,55
29,50
30,48
31,53
32,38
33,29
34,37
35,35
36,27
37,26
38,34
39,23
40,25
41,27
42,24
43,17
44,14
45,18
46,17
47,19
48,20
49,14
50,14
51,13
52,9
53,16
54,9
55,11
56,11
57,6
58,13
59,8
60,7
61,7
62,5
63,7
64,4
65,8
66,5
67,6
68,5
69,6
70,5
71,5
72,4
73,5
74,3
75,3
76,3
77,3
78,2
79,1
80,3
81,3
82,1
83,4
84,1
85,3
87,3
88,3
90,1
91,1
92,1
93,2
99,1
100,1
101,1
102,1
106,2
108,3
109,1
114,1
117,1
121,1
122,1
124,1
125,1
129,1
133,1
140,1
341,1
343,1
