Size,Count
1,443505
2,157804
3,61543
4,28792
5,12611
6,6824
7,3747
8,2113
9,1253
10,746
11,444
12,300
13,193
14,157
15,111
16,80
17,83
18,54
19,52
20,43
21,27
22,29
23,23
24,12
25,14
26,15
27,19
28,8
29,8
30,11
31,6
32,12
33,8
34,8
35,5
36,5
37,6
38,5
39,3
40,2
41,4
42,5
43,4
44,1
45,4
46,2
47,1
48,9
49,1
50,1
51,1
52,3
53,7
54,5
55,2
56,1
57,2
59,1
60,1
62,1
63,1
64,2
65,1
67,1
68,1
70,3
71,1
74,1
76,2
77,1
78,1
80,1
82,1
83,2
85,1
86,1
87,1
88,2
89,2
92,1
93,1
94,1
99,2
100,1
104,1
108,1
112,1
115,1
119,1
122,2
159,1
162,1
196,1
199,1
201,1
