GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.01
0.3,0.04,0.0075,0.0,0.01
0.35,0.015,0.01,0.0025,0.01
0.4,0.02,0.0125,0.005,0.01
0.45,0.013888888888888888,0.013333333333333332,0.0016666666666666666,0.010000000000000002
0.5,0.012222222222222221,0.009999999999999998,0.0011111111111111111,0.01
0.55,0.0,0.01,0.0,0.01
0.6,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
