homopolymer_size,transitions,transversions,insertions,deletions
3,0.007411806513673268,0.0039038971774756808,0.00019715081443476507,0.00015201872419540286
4,0.0050848161166970884,0.0033462178144268375,0.0002213492954233695,0.000218688524443442
5,0.002240801105317006,0.0016231840718008976,0.0002338196782641227,0.00021591494351429444
6,0.0007201160750543473,0.0007175243895516805,0.0002805836139169473,0.00018548552499169784
7,0.00010057957588821784,0.00017818544053111953,0.00018705574261129816,0.0001404773781316991
8,3.377395352703994e-05,5.715592135345222e-05,0.0,8.70328802427568e-05
9,1.0391985700627675e-05,1.0391985700627675e-05,0.0,5.1959928503138384e-05
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
