homopolymer_size,transitions,transversions,insertions,deletions
3,0.006997613006356279,0.004117294844387493,0.00012571057725114352,0.00020243093925921996
4,0.00464475966179619,0.0032692362004904446,0.00011737974576484277,0.0002849117916808384
5,0.0016079883815196608,0.001381492743024387,8.572035961405265e-05,0.00027788217200166017
6,0.00038745268720361063,0.0004659474501427814,6.514747330668001e-05,0.00022315247778742283
7,9.185684884991571e-05,0.00015266659983199875,5.48610301529937e-05,0.00017149514485325696
8,1.495344051045141e-05,3.59073061938865e-05,0.0,8.038664834917823e-05
9,3.8097937606245624e-06,7.619587521249125e-06,0.0,2.2096803811622467e-05
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
