GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0
0.2,0.05,0.01,0.0,0.01
0.25,0.018125000000000002,0.016249999999999997,0.000625,0.00125
0.3,0.026530612244897955,0.01785714285714287,0.0007142857142857144,0.0007142857142857144
0.35,0.024519230769230717,0.013525641025640982,0.00048076923076923074,0.00048076923076923074
0.4,0.027412587412587296,0.013166833166833041,0.0002997002997002998,0.00027972027972027983
0.45,0.031343453510436436,0.012975332068311272,0.00013662239089184066,0.00011385199240986721
0.5,0.035288351948940505,0.013932072031000914,4.558924093913837e-05,5.698655117392297e-05
0.55,0.03696397443346899,0.014997094712376676,2.9052876234747238e-05,4.3579314352120856e-05
0.6,0.03788757932910239,0.01633726201269252,2.7198549410698095e-05,9.066183136899366e-06
0.65,0.03463087248322144,0.016040268456375836,0.0,0.0
0.7,0.04666666666666667,0.016666666666666666,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
