homopolymer_size,transitions,transversions,insertions,deletions
3,0.004500852786217032,0.005251937607544214,0.000327512233146921,0.001473520767512083
4,0.0027341412481194103,0.0024610811727285376,0.0003134815346796913,0.0013184589666312967
5,0.0014077959935054876,0.0011339033481595018,0.0003671784777775562,0.0014148235793823903
6,0.0006245925574874289,0.0005644570082876456,0.0004235907461713912,0.0013083203802268383
7,0.0002208582619821196,0.0003532831314153925,0.00044492544492544483,0.001227617570674983
8,0.00011435933571566612,0.00028002458646442024,0.0003518285776350292,0.001143106629479727
9,7.268010538126506e-05,0.0002484090421748503,0.00034019146922372725,0.0010287528422646716
10,6.53565766460245e-05,0.00023626190415198915,0.0002897639994414188,0.000962406201968053
11,5.780957765210793e-05,0.00011440837042027129,0.0002684293006873652,0.0008363311599054342
12,4.669956695192583e-05,0.00010002242374677946,0.00024515508386476127,0.0007276031990604977
