homopolymer_size,transitions,transversions,insertions,deletions
3,0.0036118185944052712,0.006821864141230306,0.0006852695605165263,0.0004242781202078904
4,0.0028443046365090605,0.004999503111980294,0.0007376868017567988,0.00040906123886858133
5,0.001281485266488841,0.0025885762440599975,0.0006711198921190454,0.00036837452196899974
6,0.0006224277574837291,0.0007942085037300445,0.0005770376642518894,0.00040930807170265005
7,0.00035072511843703137,0.0003119632749126272,0.0005817417756452471,0.0003201494351736119
8,0.00017728634474020358,0.00019762456737203263,0.000539404773105027,0.00031402662351876523
9,0.00014171566828024353,0.00014525960231422775,0.00053313262458055,0.00031402662351876523
10,9.990134478372981e-05,8.958070808043652e-05,0.0006272148524477059,0.0002969508647153247
11,7.010863929246377e-05,6.243400991065547e-05,0.0006428952237588986,0.0002310933052083156
12,6.036479520955925e-05,5.388108010455039e-05,0.0006428952237588986,0.00017928853416753984
