homopolymer_size,transitions,transversions,insertions,deletions
3,0.020770361117166996,0.01329863720684093,0.019846615678191265,0.07175294973785382
4,0.017144223010316754,0.013583277814361925,0.017158909558832237,0.09136316211450737
5,0.014069264115259682,0.01426659148724381,0.011931207966080933,0.11423148247413116
6,0.009467416279954378,0.011520946760740702,0.008231002864343783,0.12555905768041187
7,0.007493637904384189,0.008763002371216673,0.007919375328142722,0.12637900428250531
8,0.00533766903366798,0.006320036972254711,0.0074761478113425294,0.1185051975054706
9,0.004128670343159284,0.004887147597310919,0.007063985797451243,0.11266625320183977
10,0.0035909620422757225,0.00404192771462221,0.006402217080671991,0.10607697825876296
11,0.0031000923478593065,0.003498660809956787,0.005976882065544157,0.0982297404710082
12,0.002754462512772121,0.003029131175107262,0.00591452947820187,0.09363375516506342
