homopolymer_size,transitions,transversions,insertions,deletions
3,0.01039542427027674,0.006997138092766356,0.007080139425124293,0.04376877552136339
4,0.009063401657658243,0.007926549527275204,0.006582390770480451,0.05601064173581958
5,0.006438874129197354,0.005445324832511776,0.005657513017252943,0.06029307797710506
6,0.0037848894137824823,0.004049579197319415,0.0038810059069891226,0.05929108191855725
7,0.0020062747884731836,0.002900092956500037,0.003956155294684605,0.047471356946013725
8,0.0013454344196785356,0.0020196987079313168,0.002726006250235325,0.03512134815593644
9,0.0009942147982810634,0.001408317796486447,0.003321311581223475,0.02825176738470833
10,0.0007596567520968168,0.0010515715760111447,0.0029622726759290638,0.022433231264887367
11,0.0006826542015367991,0.0007383937389570889,0.0028493166158364397,0.01918786797905372
12,0.0006188630847031619,0.0006768862135082965,0.002640347904665085,0.017197226005687547
