homopolymer_size,transitions,transversions,insertions,deletions
3,0.010286833265526131,0.006175048965496697,0.0003017013419511256,0.0003233723791406711
4,0.00822917530289185,0.005528869773610637,0.00032237557586883674,0.00043378693432788066
5,0.003707414886137503,0.0029214292738322972,0.0002932848858408398,0.0004603398696926687
6,0.0011528312335465295,0.0010814111540949128,0.00026633438281762755,0.00041381386426340446
7,0.0002573697547111665,0.00036702474256573446,0.00016170301813927385,0.00032254989284790194
8,6.565882354184565e-05,0.00012259836669382848,0.0,0.00015846631557030956
9,1.6910119543976354e-05,3.699088650244828e-05,0.0,4.967347616043051e-05
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
