GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.25,0.0,0.01,0.0,0.01
0.3,0.0,0.0018181818181818182,0.0,0.009999999999999998
0.35,0.005,0.006,0.0,0.009999999999999998
0.4,0.03,0.02,0.0,0.01
0.45,0.0,0.0,0.0,0.01
0.5,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.01
0.65,0.0,0.0,0.0,0.01
0.7,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
