homopolymer_size,transitions,transversions,insertions,deletions
3,0.0013877841583685518,0.0023374414577273924,0.0006531678641410842,0.049021323802635415
4,0.0011062508919491446,0.0019306486932613874,0.0009797517962116264,0.0485056599349988
5,0.0009892144415908199,0.0010610260519868559,0.00032658393207054214,0.04820630443641117
6,0.0004432917398299502,0.0008164374186197677,0.0,0.045506837070072935
7,0.00036346011199048434,0.0007075761079295869,0.0,0.04336556646928776
8,0.00036346011199048434,0.0005478518655219774,0.0,0.04146804207825527
9,0.00037706777582675687,0.0005478518655219774,0.0,0.03796689489619394
10,0.0003044935686999698,0.00047527765839519017,0.0,0.03494740854795782
11,0.0003044935686999698,0.00040996087198108175,0.0,0.030830609203394133
12,0.00012635687847967404,0.0003736103294254445,0.0,0.02584654684350459
