homopolymer_size,transitions,transversions,insertions,deletions
3,0.008820380154519004,0.006250500907966011,0.0007641539000424018,0.0002818663005530015
4,0.006834851407942003,0.0051678290647373375,0.0008226867982965543,0.0005101518317663876
5,0.002344317349489941,0.00263617462357807,0.00014518002322880372,0.0006862051000598587
6,0.0009367568165477572,0.0005901505901505901,0.00014518002322880372,0.0004017710899244
7,0.00025925004148000664,0.00020716958870268973,0.00029036004645760743,0.0005185000829600133
8,7.259001161440186e-05,0.00010485223899858047,0.0,0.00014518002322880372
9,0.0,3.22622273841786e-05,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
