homopolymer_size,transitions,transversions,insertions,deletions
3,0.0001763300416862344,0.0023509373368261967,0.00039483129935391243,0.00018945513360896736
4,0.00014113682556704117,0.0015414593814905328,0.0008626465661641542,0.0003310324262332882
5,0.000330820770519263,0.0013291748727880792,0.002512562814070352,0.00040913372121844147
6,0.00012981574539363484,0.001329664193985802,0.004020100502512563,0.0005695142378559464
7,0.00016750418760469013,0.001329664193985802,0.004020100502512563,0.0005695142378559464
8,0.00022613065326633166,0.0009491903964265774,0.0010050251256281408,0.0005025125628140705
9,0.00010050251256281407,0.0004020100502512563,0.0010050251256281408,0.00036850921273031827
10,0.00010050251256281407,0.0004020100502512563,0.0020100502512562816,0.00036850921273031827
11,0.0,0.0,0.0,0.0001675041876046901
12,0.0,0.0,0.0,0.0001675041876046901
