homopolymer_size,transitions,transversions,insertions,deletions
3,0.027932370477476185,0.008370074757401863,0.00012919896640826872,0.0002358207289617145
4,0.0320958438415018,0.004037135471113369,0.0003875968992248062,0.00026132449168254755
5,0.008151280244303501,0.003392731299708045,0.0,0.00033015642002634515
6,0.00710594315245478,0.000310077519379845,0.0,0.0004079967360261118
7,0.0,0.0011074197120708748,0.0,0.0011074197120708748
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
