homopolymer_size,transitions,transversions,insertions,deletions
3,0.010948588006244608,0.006309387731374719,0.0022183686009269606,0.0018614734241506794
4,0.010201850200544484,0.0063487331131273925,0.0015171371531192794,0.0024240810136855616
5,0.005761214379854739,0.005825496144049086,0.0014692351437719036,0.002787195590332024
6,0.003577229493713675,0.0034978215626262073,0.0010858736800159394,0.002760230363833514
7,0.0012393381341378959,0.0021292053419967333,0.0005977286312014345,0.0026632863026052273
8,0.00014943215780035862,0.0009740762878838194,0.0,0.0014939960177469402
9,0.0,0.00017710477961523986,0.0,0.0005091762413938146
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
