Size,Count
1,41806
2,4880
3,1254
4,646
5,681
6,503
7,268
8,356
9,1477
10,463
11,258
12,956
13,307
14,176
15,236
16,119
17,104
18,85
19,58
20,68
21,46
22,44
23,44
24,34
25,33
26,27
27,21
28,25
29,34
30,21
31,17
32,23
33,17
34,17
35,19
36,14
37,15
38,11
39,16
40,12
41,4
42,8
43,7
44,12
45,8
46,8
47,7
48,10
49,7
50,10
51,5
52,6
53,6
54,7
55,4
56,9
57,5
58,5
59,12
60,8
61,2
62,2
63,7
64,4
65,3
66,4
67,5
68,5
69,9
70,6
71,3
72,9
73,4
74,6
75,3
76,1
77,5
78,2
79,4
80,7
81,3
82,3
83,5
84,6
85,3
86,2
87,6
88,4
89,6
90,3
91,5
92,4
93,2
94,4
95,5
96,2
97,4
98,1
99,3
100,5
103,1
109,1
115,1
126,2
131,1
136,1
138,1
139,1
140,1
142,2
