homopolymer_size,transitions,transversions,insertions,deletions
3,0.0006517389387634437,0.0009091406375223352,0.00454876268070439,0.0025531892462672535
4,0.0006675640577047278,0.0008633477399742459,0.0047405696424367,0.003263486445242263
5,0.000636201412267839,0.000771384331376794,0.004521498028997387,0.0034828695934175018
6,1.4617308523221022e-05,1.5823949022059235e-05,7.814282454939538e-05,0.0001378224480704494
7,8.44170659365731e-06,1.5561390580171567e-05,6.844626967830253e-05,0.00013808518993704984
8,8.44170659365731e-06,1.4571194665408943e-05,6.844626967830253e-05,0.00012045842303605679
9,8.44170659365731e-06,6.5186923503145266e-06,6.844626967830253e-05,0.00011230699504643269
10,8.44170659365731e-06,6.5186923503145266e-06,6.844626967830253e-05,0.00011473003261314228
11,8.44170659365731e-06,0.0,6.844626967830253e-05,0.00010432975527241318
12,1.0592875069261106e-05,0.0,6.844626967830253e-05,9.236204394301482e-05
