homopolymer_size,transitions,transversions,insertions,deletions
3,0.020421477448620315,0.0039371211506813615,0.003801469390932058,0.00844549097355993
4,0.023979141087901695,0.002878620427698047,0.0016298582931244488,0.010376953805836354
5,0.007717412641937105,0.002570627724624882,0.0011507479861910242,0.013409554699407812
6,0.0042703161953449005,0.0013540963480365585,0.0005753739930955121,0.01676804208449777
7,4.794783275795934e-05,0.00014820239216096524,0.0003835826620636747,0.01016494054468738
8,4.794783275795934e-05,0.00014384349827387802,0.0003835826620636747,0.01016494054468738
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
