Size,Count
1,665210
2,248358
3,105826
4,51793
5,25782
6,14929
7,8989
8,5802
9,3609
10,2634
11,1711
12,1410
13,1040
14,845
15,652
16,605
17,457
18,361
19,314
20,314
21,226
22,218
23,166
24,170
25,137
26,156
27,111
28,138
29,88
30,94
31,87
32,106
33,67
34,84
35,69
36,63
37,43
38,59
39,38
40,57
41,45
42,34
43,38
44,52
45,35
46,40
47,27
48,39
49,27
50,28
51,16
52,25
53,18
54,18
55,27
56,23
57,8
58,12
59,14
60,16
61,20
62,12
63,8
64,8
65,5
66,4
67,8
68,19
69,9
70,5
71,7
72,7
73,6
74,4
75,6
76,4
77,4
78,1
79,4
80,4
81,7
82,2
83,1
84,1
85,3
86,2
87,6
88,1
89,6
90,3
91,2
92,6
93,2
94,7
95,5
96,3
97,1
98,1
99,4
100,1
101,3
102,1
103,1
104,5
105,1
106,2
107,1
108,2
109,1
110,4
111,1
112,1
113,6
115,3
116,1
117,1
118,2
120,1
121,1
122,1
123,1
126,2
129,1
132,1
133,1
134,2
135,2
136,1
141,2
143,1
149,1
153,1
155,1
156,1
159,1
161,1
165,1
169,1
170,1
181,1
182,1
183,4
186,1
192,1
209,1
211,1
289,1
293,2
339,1
683,1
