Size,Count
1,508145
2,177013
3,68278
4,33887
5,16282
6,9096
7,5281
8,3144
9,1859
10,1262
11,783
12,600
13,354
14,297
15,229
16,206
17,114
18,121
19,117
20,113
21,61
22,74
23,54
24,51
25,39
26,43
27,46
28,40
29,28
30,39
31,19
32,22
33,25
34,23
35,15
36,14
37,14
38,19
39,20
40,31
41,18
42,19
43,7
44,12
45,10
46,16
47,10
48,6
49,15
50,9
51,7
52,16
53,6
54,9
55,3
56,10
57,4
58,4
59,4
60,7
61,5
62,12
63,2
64,2
65,6
66,1
67,7
68,5
69,5
70,3
71,2
72,3
74,4
75,3
76,2
77,3
78,5
79,4
80,6
81,4
82,2
83,2
84,4
85,3
86,3
87,3
88,2
89,3
90,5
91,2
92,3
93,2
94,2
95,3
96,1
97,3
98,5
101,1
103,1
104,2
105,1
106,1
107,1
108,1
111,1
113,1
115,1
116,1
117,1
118,2
119,2
120,3
122,1
128,1
129,3
130,3
131,2
133,1
134,1
135,1
137,2
139,2
141,1
143,1
145,1
147,1
149,1
151,1
154,1
158,1
161,1
162,1
165,3
166,2
167,1
168,1
171,3
172,1
174,1
177,1
178,1
179,1
180,2
181,1
182,1
184,1
186,2
187,1
191,1
192,1
203,1
204,1
205,2
208,1
209,1
216,2
221,1
268,1
299,1
303,2
311,1
317,1
329,1
331,1
336,1
337,2
339,3
341,1
343,2
344,1
350,1
352,1
353,2
358,1
359,1
366,1
432,1
510,1
