homopolymer_size,transitions,transversions,insertions,deletions
3,0.0017454722038909188,0.002931176621431871,0.0008162387855627346,0.0007723038942678888
4,0.0004825183576665432,0.001074925541711679,6.542728691734663e-05,0.00021705221646627353
5,0.00010600010529909868,0.00034993367300078886,5.1407154006486645e-05,0.00020160869445371048
6,6.157360488179544e-05,0.00010743837905160745,5.1407154006486645e-05,0.00023901199438059836
7,5.152584296234578e-05,6.240694440645222e-05,5.1407154006486645e-05,0.00024458031437474964
8,1.5474072620134364e-05,5.138101015476578e-05,5.1407154006486645e-05,0.0002475542819619018
9,1.5474072620134364e-05,5.010645261741488e-05,5.1407154006486645e-05,0.00025295917257141986
10,1.5474072620134364e-05,4.699086752611266e-05,9.346755273906662e-06,0.0002542136055160758
11,1.4539397092743698e-06,2.7362681450908668e-05,9.346755273906662e-06,0.0002205652865300118
12,1.4539397092743698e-06,1.9715336226803215e-05,9.346755273906662e-06,0.0001848776754841864
