homopolymer_size,transitions,transversions,insertions,deletions
3,0.0016150033869590321,0.0012216258805127296,0.00014897276182671018,0.0005821664628322098
4,0.0011938717365628257,0.0008018554995982272,0.0001893154702603661,0.0006738198942813778
5,0.0006447884349776283,0.0004221499389499164,0.00020195758644694857,0.0006929033949394869
6,0.0002729963373104706,0.00020534496054508614,0.00020909128925688955,0.0006721346320259507
7,0.00014138240263811906,0.00012698407373866517,0.00017219282644685024,0.0006472192325913727
8,7.818205771967208e-05,8.834757681045998e-05,0.0001328344661161416,0.0006026833204022285
9,6.423554251516416e-05,6.545013297291346e-05,0.00012914461983513768,0.0005658810804748255
10,5.0995252000403884e-05,5.2251833754651526e-05,0.0001217649272731298,0.0005066666068937973
11,4.0784281285547786e-05,3.614234925802781e-05,0.00011807508099212587,0.00043746268774008136
12,3.474635100754137e-05,2.905677487783912e-05,9.593600330610227e-05,0.00036179208650879947
