homopolymer_size,transitions,transversions,insertions,deletions
3,0.0088284752489365,0.00596354786681788,0.010181142273658505,0.013980406085650186
4,0.006164179146015534,0.005323491232544171,0.007420536452794497,0.015760634007331274
5,0.0024229693041898353,0.002391818622871266,0.0032434257858957234,0.010333335494889077
6,0.0006773341586789156,0.0008436878816945649,0.0008222355998649184,0.004880881047843527
7,0.00015955868694941033,0.0002993888468215627,0.00016885195354368862,0.0016210020600171352
8,6.097431655744311e-05,7.463745772583338e-05,1.4682778569016401e-05,0.00044639725399412355
9,1.1419938887012758e-05,1.957703809202187e-05,0.0,2.6102717456029162e-05
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
