Size,Count
1,1158073
2,477209
3,218852
4,109973
5,58024
6,33966
7,20965
8,13065
9,8431
10,5549
11,3907
12,2804
13,1960
14,1508
15,1084
16,881
17,730
18,567
19,437
20,402
21,332
22,275
23,231
24,213
25,170
26,158
27,132
28,128
29,97
30,74
31,64
32,83
33,62
34,61
35,48
36,32
37,35
38,41
39,31
40,36
41,26
42,25
43,25
44,25
45,22
46,19
47,13
48,15
49,18
50,12
51,14
52,13
53,13
54,12
55,19
56,18
57,6
58,15
59,9
60,8
61,8
62,7
63,8
64,10
65,7
66,8
67,6
68,8
69,4
70,4
71,5
72,5
73,8
74,6
76,7
77,2
78,4
79,5
80,3
81,3
82,3
83,5
84,2
85,1
86,5
87,3
89,3
90,4
91,1
92,5
93,4
95,1
96,1
97,2
98,1
99,3
100,1
102,2
103,3
104,1
106,2
110,1
111,1
114,1
116,2
117,1
119,1
120,1
125,2
128,1
129,2
130,1
133,1
136,1
141,1
145,1
150,2
157,1
158,1
164,1
168,1
171,1
175,1
344,1
