homopolymer_size,transitions,transversions,insertions,deletions
3,0.01390819975635599,0.028344160519890506,0.029557633975877486,0.045355245629570856
4,0.012734110463086003,0.026050481316894237,0.02957803061285492,0.04501579938767724
5,0.010262275693490119,0.023231732140215535,0.02690826720499556,0.041610305232652314
6,0.008798945520399963,0.018295563474143448,0.0230798602308488,0.03236065803214603
7,0.004577216053911879,0.008221122989312872,0.011243878411611702,0.016802029814821734
8,0.0006950341777828361,0.0017583781044292494,0.002505333134891105,0.0047911881922983015
9,1.6536852375518843e-05,0.00016536852375518844,0.0,0.00026458963800830154
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
