homopolymer_size,transitions,transversions,insertions,deletions
3,0.020528437326893877,0.013082524211680506,0.010996783185203243,0.03075782792396099
4,0.01948219909625145,0.011085795108631382,0.010441001675907865,0.040096832184643556
5,0.012923886432229996,0.010238062779348361,0.008493118511832848,0.051399740474786904
6,0.010144031146028118,0.008615129302758083,0.006401090782410552,0.059266433919866524
7,0.005965591078226121,0.007358324034899966,0.004492968969673124,0.052155120949949965
8,0.001976220484427358,0.0032576279164932987,0.0009754418177645169,0.026557357559986946
9,0.00019126310152245434,0.0008734348302858741,0.0004590314436538903,0.004798578702641133
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
